                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8277,                 3.0745,                 1.1078,                0.00154,                0.28506,                0.00272,                0.00153,                 1.6679,                 4.2191,                  1.074,             0.00054609,             0.00054609,             0.00054609
                      2,                 1.6611,                 2.1718,                 1.1158,                0.60767,                0.64599,                0.64236,                0.28372,                 1.7022,                 2.6493,                 1.1707,              0.0010109,              0.0010109,              0.0010109
                      3,                 1.5843,                 1.9058,                 1.1685,                0.78218,                0.84248,                 0.8519,                0.40354,                 1.6613,                 1.7708,                  1.204,              0.0013839,              0.0013839,              0.0013839
                      4,                 1.6251,                 1.6902,                 1.1857,                0.83408,                 0.9135,                 0.9106,                0.46096,                 1.6999,                 1.6713,                 1.2082,              0.0012544,              0.0012544,              0.0012544
                      5,                 1.6163,                 1.5607,                 1.1649,                0.82837,                0.89062,                 0.8871,                0.47565,                 1.5878,                 1.6176,                 1.1643,              0.0012544,              0.0012544,              0.0012544
                      6,                 1.5732,                 1.4071,                 1.1747,                0.85201,                 0.9073,                 0.9119,                0.45377,                 1.6446,                 1.4008,                 1.1775,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.5237,                 1.2991,                 1.1604,                0.86998,                0.86687,                0.91502,                0.48913,                 1.6005,                 1.3882,                  1.177,             0.00097936,             0.00097936,             0.00097936
                      8,                 1.5004,                 1.1972,                 1.1357,                0.88565,                0.91374,                0.92833,                0.50484,                 1.6195,                 1.2187,                 1.1755,             0.00084184,             0.00084184,             0.00084184
                      9,                 1.4643,                 1.1361,                 1.1111,                0.90513,                0.91484,                0.91739,                0.48916,                 1.5869,                 1.1592,                 1.1433,             0.00070431,             0.00070431,             0.00070431
                     10,                 1.4547,                  1.065,                 1.1069,                0.87652,                  0.912,                0.92147,                 0.4872,                 1.5842,                 1.1029,                 1.1441,             0.00056678,             0.00056678,             0.00056678
                     11,                 1.4427,                 1.0421,                 1.1044,                0.89119,                0.93092,                0.89842,                0.48112,                 1.5621,                 1.0683,                 1.1393,             0.00042925,             0.00042925,             0.00042925
                     12,                 1.4429,                 1.0025,                  1.095,                0.91942,                0.91376,                0.93257,                0.52745,                   1.54,                  1.038,                 1.1249,             0.00029172,             0.00029172,             0.00029172
